Chunk Size (tokens),Chunk Overlap Size (token overlap),Embedding Models,Vector Database,Memory Usage 1 (MB),Memory Usage 2 (MB),Memory Usage 3 (MB),Retrieval Quality (Query 1) (sec),Retrieval Quality (Query 2) (sec),Retrieval Quality (Query 3) (sec),Additional Notes 1,Additional Notes 2,Additional Notes 3
500,50,sentence-transformers/all-mpnet-base-v2,Chroma,1065,1065,1066,4.9869,2.8604,8.3913,"Good, simple","Good, simple","Really good, comprehensive"
500,50,sentence-transformers/all-mpnet-base-v2,Qdrant,1026.69,1026.69,1026.69,19.09,10.71,33.78,"pretty good, comprehensive",good but no explanation,"very good, comprehensive"
500,100,sentence-transformers/all-mpnet-base-v2,Redis,1083,1083,1083,8.301,2.8376,15.7473,"Good, simple","Not good, simple just code","Good, pretty comprehensive"
500,100,sentence-transformers/all-mpnet-base-v2,Chroma,1065,1066,1066,5.6723,3.904,5.7521,Really good,"Really good, comprehensive","Good, could be better"
500,100,sentence-transformers/all-mpnet-base-v2,Qdrant,1033.7,1033.7,1033.7,17.68,14.39,29.59,"pretty good, comprehensive",good but no explanation,"good, pretty comprehensive"
1000,0,sentence-transformers/all-mpnet-base-v2,Redis,1072,1079,1082,11.3768,2.9011,15.1583,Good,"Not good, simple just code","Very good, comprehensive"
1000,0,sentence-transformers/all-mpnet-base-v2,Chroma,1065,1066,1066,5.2287,5.3407,7.5706,"Good, concise but clear","Really good, in depth explanation","Really good, comprehensive"
1000,0,sentence-transformers/all-mpnet-base-v2,Qdrant,991.86,991.86,991.86,17.28,9.31,32.06,"very good, comprehensive",good but no explanation,"good, very comprehensive"
1000,50,sentence-transformers/all-mpnet-base-v2,Redis,1082,1082,1083,7.865,3.9003,12.0632,"Good, comprehensive","Not good, simple just code","Good, not as comprehensive"
1000,50,sentence-transformers/all-mpnet-base-v2,Chroma,1065,1066,1066,4.1295,5.0576,7.2246,"Okay, clunky response","Okay, didn't structure code","Really good, comprehensive"
1000,50,sentence-transformers/all-mpnet-base-v2,Qdrant,1036.92,1036.92,1036.92,18.67,10.34,37.71,"good, comphensive","good, but no explanation",good comprehensive
1000,100,sentence-transformers/all-mpnet-base-v2,Redis,1082,1082,1083,5.1668,2.7733,11.1485,Not good,"Not good, simple just code","Good, not as comprehensive"
1000,100,sentence-transformers/all-mpnet-base-v2,Chroma,1065,1066,1066,4.7212,4.1762,5.3017,"Really good, comprehensive",Good,"Okay, didn't separate by function"
1000,100,sentence-transformers/all-mpnet-base-v2,Qdrant,1241.31,1241.31,1241.31,13.76,7.55,44.66,good but all in one paragraph (wordy),good but no explanation,"good, comprehensive"
200,0,mxbai-embed-large,Redis,1061,1062,1062,19.1929,3.5378,5.9497,"Very good, really comprehensive",Okay,"Okay, didn't break down by function"
200,0,mxbai-embed-large,Chroma,714.31,714.31,714.31,21.12,16.82,25.14,"very good, comprehensive",very good,"very comprehensive, unique response from others"
200,0,mxbai-embed-large,Qdrant,593.17,593.17,593.17,28.65,10.82,22.95,"okay, only gives info on two of the components",good but no explanation,"good, comprehensive"
200,50,mxbai-embed-large,Redis,1061,1062,1062,6.4657,5.5872,7.4202,"Good, pretty comprehensive","Good, well structured code","Okay, didn't break down by function"
200,50,mxbai-embed-large,Chroma,1110.38,1110.38,1110.38,12.41,10.34,28.3,"very good, comprehensive",pretty good,"very good, comprehensive"
200,50,mxbai-embed-large,Qdrant,610.47,610.47,610.47,27.93,9.83,27.81,"pretty good, explains comprehensive but also includes unnecessary details",good but no explanation,"very good, comprehensive"
200,100,mxbai-embed-large,Redis,1061,1062,1063,6.0608,5.7308,6.2543,"Good, concise but clear","Very good, code with explanation","Okay, didn't break down by functions"
200,100,mxbai-embed-large,Chroma,938.5,938.5,938.5,20.54,16.05,17.56,pretty good,very good ,"very good, comprehensive"
200,100,mxbai-embed-large,Qdrant,734.97,734.97,734.97,17.31,11.34,33.2,"Good, but lacks deeper explanation",good but no explanation,"very good, comprehensive"
500,0,mxbai-embed-large,Redis,1062,1063,1064,8.2589,4.0677,8.2105,"Good, concise but comprehensive","Good, well structured code","Good, fairly comprehensive"
500,0,mxbai-embed-large,Chroma,736.86,736.86,736.86,16.69,12.53,26.86,"very good, comprehensive","very good, comprehensive","very good, comprehensive"
500,0,mxbai-embed-large,Qdrant,549.88,549.88,549.88,25.52,9.67,25.2,"very good,comprehensive",good,"good, comprehensive"
500,50,mxbai-embed-large,Redis,1064,1064,1064,4.8824,3.9688,7.8423,"Good, concise but comprehensive","Very good, explanation with code","Okay, didn't break down by function"
500,50,mxbai-embed-large,Chroma,656.78,656.78,656.78,16.73,14.21,14.61,"good, comprehensive","good, comprehensive","good, comprehensive"
500,50,mxbai-embed-large,Qdrant,625.95,625.95,625.95,22.28,12.29,28.01,"very good, comprehensive",good,"good, comprehensive"
500,100,mxbai-embed-large,Redis,1063,1065,1065,3.9586,4.0759,7.8418,Very good,"Good, well structured, short explanation","Okay, didn't like part of the answer"
500,100,mxbai-embed-large,Chroma,633.67,633.67,633.67,18.09,12.27,21.92,very good,"good, comprehensive","good, comprehensive"
500,100,mxbai-embed-large,Qdrant,606.42,606.42,606.42,23.53,10.5,32.13,"good, but not as in depth",good,"pretty good, comprehensive"
1000,0,mxbai-embed-large,Redis,1064,1065,1065,5.3601,4.0297,8.7235,Very good,"Very good, explanation and code","Very good, comprehensive"
1000,0,mxbai-embed-large,Chroma,551.45,551.45,551.45,15.72,18.92,30.21,"very good, comprehensive","very good, comprehensive","pretty good, comprehensive"
1000,0,mxbai-embed-large,Qdrant,546.27,546.27,546.27,16.68,10.82,31.84,"good, comprehensive",good,"pretty good, comprehensive"
1000,50,mxbai-embed-large,Redis,1065,1065,1066,5.3702,4.1541,5.3995,"Very good, well explained","Very good, great explanations","Good, could be more descriptive"
1000,50,mxbai-embed-large,Chroma,324.89,324.89,324.89,23.82,13.711,21.01,"Very good, well explained","Very good, thorough explanation","great, comprehensive"
1000,50,mxbai-embed-large,Qdrant,603.44,603.44,603.44,21.4,10.4,35.69,"good, comprehensive, concise",good,good comprehensive
1000,100,mxbai-embed-large,Redis,1065,1065,1066,6.4316,2.7129,7.4706,"Very good, well explained","Okay, not much explanation","Very good, comprehensive"
1000,100,mxbai-embed-large,Chroma,308.27,308.27,308.27,25.23,15.1,22.81,"very good, well explained",whoa! this is good and gives good explanation,"Very good, comprehensive"
1000,100,mxbai-embed-large,Qdrant,625.31,625.31,625.31,11.03,11.81,55.91,"good, not much","ok, not much","very good, comprehensive"
